Unknown IDS references in BCS & BS files
Number of hits: 411
File: NWBPCF2B.bcs, Line: 165, Error: 0 not found in SPELL.IDS
File: NWBPCM20.bcs, Line: 320, Error: 0 not found in SPELL.IDS
File: NWBPCM2A.bcs, Line: 379, Error: 0 not found in SPELL.IDS
File: NWBPD10A.bcs, Line: 264, Error: 0 not found in SPELL.IDS
File: NWBPD12A.bcs, Line: 264, Error: 0 not found in SPELL.IDS
File: NWBPD14G.bcs, Line: 217, Error: 0 not found in SPELL.IDS
File: NWBPGPAH.bcs, Line: 117, Error: 0 not found in SPELL.IDS
File: NWBPGPAH.bcs, Line: 138, Error: 0 not found in SPELL.IDS
File: NWBPGPAH.bcs, Line: 195, Error: 0 not found in SPELL.IDS
File: NWBPGPAH.bcs, Line: 196, Error: 0 not found in SPELL.IDS
File: NWBPGPAH.bcs, Line: 197, Error: 0 not found in SPELL.IDS
File: NWBPGPAH.bcs, Line: 198, Error: 0 not found in SPELL.IDS
File: NWBPGPAH.bcs, Line: 199, Error: 0 not found in SPELL.IDS
File: NWBPGPAH.bcs, Line: 200, Error: 0 not found in SPELL.IDS
File: NWBPGPHL.bcs, Line: 317, Error: 0 not found in SPELL.IDS
File: NWBPM10A.bcs, Line: 349, Error: 0 not found in SPELL.IDS
File: NWBPM12A.bcs, Line: 347, Error: 0 not found in SPELL.IDS
File: NWBPM14A.bcs, Line: 365, Error: 0 not found in SPELL.IDS
File: NWBPM14D.bcs, Line: 356, Error: 0 not found in SPELL.IDS
File: NWBPM14M.bcs, Line: 380, Error: 0 not found in SPELL.IDS
File: NWBPM16A.bcs, Line: 423, Error: 0 not found in SPELL.IDS
File: NWBPM16C.bcs, Line: 443, Error: 0 not found in SPELL.IDS
File: NWBPM16M.bcs, Line: 359, Error: 0 not found in SPELL.IDS
File: NWBPM18A.bcs, Line: 346, Error: 0 not found in SPELL.IDS
File: NWBPM18C.bcs, Line: 424, Error: 0 not found in SPELL.IDS
File: NWBPM18D.bcs, Line: 395, Error: 0 not found in SPELL.IDS
File: NWBPM18W.bcs, Line: 340, Error: 0 not found in SPELL.IDS
File: NWBPM18Z.bcs, Line: 384, Error: 0 not found in SPELL.IDS
File: NWBPM20B.bcs, Line: 414, Error: 0 not found in SPELL.IDS
File: NWBPMA8B.bcs, Line: 378, Error: 0 not found in SPELL.IDS
File: NWBPMA8D.bcs, Line: 351, Error: 0 not found in SPELL.IDS
File: NWBPMAG8.bcs, Line: 351, Error: 0 not found in SPELL.IDS
File: NWBPP12A.bcs, Line: 357, Error: 0 not found in SPELL.IDS
File: NWBPP14A.bcs, Line: 310, Error: 0 not found in SPELL.IDS
File: NWBPP18A.bcs, Line: 332, Error: 0 not found in SPELL.IDS
File: NWBPP18B.bcs, Line: 347, Error: 0 not found in SPELL.IDS
File: NWBPP18C.bcs, Line: 347, Error: 0 not found in SPELL.IDS
File: NWBPP18N.bcs, Line: 342, Error: 0 not found in SPELL.IDS
File: NWBPPR1.bcs, Line: 310, Error: 0 not found in SPELL.IDS
File: NWBPPR12.bcs, Line: 337, Error: 0 not found in SPELL.IDS
File: NWBPPR8B.bcs, Line: 290, Error: 0 not found in SPELL.IDS
File: NWBPPRI5.bcs, Line: 290, Error: 0 not found in SPELL.IDS
File: NWBPPRI6.bcs, Line: 285, Error: 0 not found in SPELL.IDS
File: NWBPVA01.bcs, Line: 420, Error: 0 not found in SPELL.IDS
File: NWBPVA01.bcs, Line: 453, Error: 0 not found in SPELL.IDS
File: NWBPVA01.bcs, Line: 462, Error: 0 not found in SPELL.IDS
File: NWBPVA01.bcs, Line: 475, Error: 0 not found in SPELL.IDS
File: NWBPVA01.bcs, Line: 500, Error: 0 not found in SPELL.IDS
File: NWBPWDAT.bcs, Line: 82, Error: 0 not found in SPELL.IDS
File: NWBPWDAT.bcs, Line: 103, Error: 0 not found in SPELL.IDS
File: NWBPWDAT.bcs, Line: 160, Error: 0 not found in SPELL.IDS
File: NWBPWDAT.bcs, Line: 161, Error: 0 not found in SPELL.IDS
File: NWBPWDAT.bcs, Line: 162, Error: 0 not found in SPELL.IDS
File: NWBPWDAT.bcs, Line: 163, Error: 0 not found in SPELL.IDS
File: NWBPWDAT.bcs, Line: 164, Error: 0 not found in SPELL.IDS
File: NWBPWDAT.bcs, Line: 165, Error: 0 not found in SPELL.IDS
File: NWBPWDRT.bcs, Line: 117, Error: 0 not found in SPELL.IDS
File: NWBPWDRT.bcs, Line: 138, Error: 0 not found in SPELL.IDS
File: NWBPWDRT.bcs, Line: 195, Error: 0 not found in SPELL.IDS
File: NWBPWDRT.bcs, Line: 196, Error: 0 not found in SPELL.IDS
File: NWBPWDRT.bcs, Line: 197, Error: 0 not found in SPELL.IDS
File: NWBPWDRT.bcs, Line: 198, Error: 0 not found in SPELL.IDS
File: NWBPWDRT.bcs, Line: 199, Error: 0 not found in SPELL.IDS
File: NWBPWDRT.bcs, Line: 200, Error: 0 not found in SPELL.IDS
File: NWBPWTAT.bcs, Line: 82, Error: 0 not found in SPELL.IDS
File: NWBPWTAT.bcs, Line: 103, Error: 0 not found in SPELL.IDS
File: NWBPWTAT.bcs, Line: 160, Error: 0 not found in SPELL.IDS
File: NWBPWTAT.bcs, Line: 161, Error: 0 not found in SPELL.IDS
File: NWBPWTAT.bcs, Line: 162, Error: 0 not found in SPELL.IDS
File: NWBPWTAT.bcs, Line: 163, Error: 0 not found in SPELL.IDS
File: NWBPWTAT.bcs, Line: 164, Error: 0 not found in SPELL.IDS
File: NWBPWTAT.bcs, Line: 165, Error: 0 not found in SPELL.IDS
File: NWBPWTRT.bcs, Line: 117, Error: 0 not found in SPELL.IDS
File: NWBPWTRT.bcs, Line: 138, Error: 0 not found in SPELL.IDS
File: NWBPWTRT.bcs, Line: 195, Error: 0 not found in SPELL.IDS
File: NWBPWTRT.bcs, Line: 196, Error: 0 not found in SPELL.IDS
File: NWBPWTRT.bcs, Line: 197, Error: 0 not found in SPELL.IDS
File: NWBPWTRT.bcs, Line: 198, Error: 0 not found in SPELL.IDS
File: NWBPWTRT.bcs, Line: 199, Error: 0 not found in SPELL.IDS
File: NWBPWTRT.bcs, Line: 200, Error: 0 not found in SPELL.IDS
File: NWBPWTST.bcs, Line: 82, Error: 0 not found in SPELL.IDS
File: NWBPWTST.bcs, Line: 103, Error: 0 not found in SPELL.IDS
File: NWBPWTST.bcs, Line: 160, Error: 0 not found in SPELL.IDS
File: NWBPWTST.bcs, Line: 161, Error: 0 not found in SPELL.IDS
File: NWBPWTST.bcs, Line: 162, Error: 0 not found in SPELL.IDS
File: NWBPWTST.bcs, Line: 163, Error: 0 not found in SPELL.IDS
File: NWBPWTST.bcs, Line: 164, Error: 0 not found in SPELL.IDS
File: NWBPWTST.bcs, Line: 165, Error: 0 not found in SPELL.IDS
File: NWDASIGT.bcs, Line: 89, Error: 0 not found in SPELL.IDS
File: NWDASIGT.bcs, Line: 149, Error: 0 not found in SPELL.IDS
File: NWDASIGT.bcs, Line: 150, Error: 0 not found in SPELL.IDS
File: NWDASIGT.bcs, Line: 151, Error: 0 not found in SPELL.IDS
File: NWDASIGT.bcs, Line: 152, Error: 0 not found in SPELL.IDS
File: NWDASIGT.bcs, Line: 153, Error: 0 not found in SPELL.IDS
File: NWDASIGT.bcs, Line: 154, Error: 0 not found in SPELL.IDS
File: NWDEGRIB.bcs, Line: 405, Error: 0 not found in SPELL.IDS
File: NWDEST3B.bcs, Line: 302, Error: 0 not found in SPELL.IDS
File: NWDRACO3.bcs, Line: 12, Error: 0 not found in SPELL.IDS
File: NWDW2MPW.bcs, Line: 40, Error: 0 not found in SPELL.IDS
File: NWDW2MPW.bcs, Line: 120, Error: 0 not found in SPELL.IDS
File: NWDW2MPW.bcs, Line: 121, Error: 0 not found in SPELL.IDS
File: NWDW2MPW.bcs, Line: 122, Error: 0 not found in SPELL.IDS
File: NWDW2MPW.bcs, Line: 123, Error: 0 not found in SPELL.IDS
File: NWDW2MPW.bcs, Line: 124, Error: 0 not found in SPELL.IDS
File: NWDW2MPW.bcs, Line: 125, Error: 0 not found in SPELL.IDS
File: NWFALS00.bcs, Line: 200, Error: 0 not found in SPELL.IDS
File: NWFINSU2.bcs, Line: 31, Error: 0 not found in SPELL.IDS
File: NWFINSU2.bcs, Line: 83, Error: 0 not found in SPELL.IDS
File: NWFINSU2.bcs, Line: 84, Error: 0 not found in SPELL.IDS
File: NWFINSU2.bcs, Line: 85, Error: 0 not found in SPELL.IDS
File: NWFINSU2.bcs, Line: 86, Error: 0 not found in SPELL.IDS
File: NWFINSU2.bcs, Line: 87, Error: 0 not found in SPELL.IDS
File: NWFINSU2.bcs, Line: 88, Error: 0 not found in SPELL.IDS
File: NWFINSUC.bcs, Line: 59, Error: 0 not found in SPELL.IDS
File: NWFINSUC.bcs, Line: 111, Error: 0 not found in SPELL.IDS
File: NWFINSUC.bcs, Line: 112, Error: 0 not found in SPELL.IDS
File: NWFINSUC.bcs, Line: 113, Error: 0 not found in SPELL.IDS
File: NWFINSUC.bcs, Line: 114, Error: 0 not found in SPELL.IDS
File: NWFINSUC.bcs, Line: 115, Error: 0 not found in SPELL.IDS
File: NWFINSUC.bcs, Line: 116, Error: 0 not found in SPELL.IDS
